id,title,revenue,budget,genres
854,The Mask,351583407,23000000,"Romance, Comedy, Crime, Fantasy"
652,Troy,497409852,175000000,"Adventure, History, War, Action"
19913,(500) Days of Summer,60781545,7500000,"Comedy, Drama, Romance"
197,Braveheart,213216216,72000000,"Action, Drama, History, War"
420818,The Lion King,1663075401,260000000,"Adventure, Drama, Family"
13475,Star Trek,385680446,150000000,"Science Fiction, Action, Adventure"
89,Indiana Jones and the Last Crusade,474171806,48000000,"Adventure, Action"
497698,Black Widow,379751131,200000000,"Action, Adventure, Science Fiction"
539,Psycho,32000000,806947,"Horror, Drama, Thriller"
10020,Beauty and the Beast,424967620,25000000,"Romance, Family, Animation, Fantasy"
392044,Murder on the Orient Express,352794081,55000000,"Mystery, Drama, Crime"
608,Men in Black II,445135288,140000000,"Action, Adventure, Comedy, Science Fiction"
405774,Bird Box,0,19800000,"Horror, Thriller, Drama"
56292,Mission: Impossible - Ghost Protocol,694713380,145000000,"Action, Thriller, Adventure"
9799,The Fast and the Furious,207283925,38000000,"Action, Crime, Thriller"
791373,Zack Snyder's Justice League,0,70000000,"Action, Adventure, Fantasy"
580489,Venom: Let There Be Carnage,506863592,110000000,"Science Fiction, Action, Adventure"
605,The Matrix Revolutions,424988211,150000000,"Adventure, Action, Thriller, Science Fiction"
301528,Toy Story 4,1073394593,175000000,"Family, Adventure, Animation, Comedy, Fantasy"
950,Ice Age: The Meltdown,660998756,80000000,"Animation, Family, Comedy, Adventure"
399566,Godzilla vs. Kong,470116094,200000000,"Action, Science Fiction, Thriller"
330457,Frozen II,1450026933,150000000,"Family, Animation, Adventure, Comedy, Fantasy"
181812,Star Wars: The Rise of Skywalker,1074144248,250000000,"Adventure, Action, Science Fiction"
5915,Into the Wild,56255142,15000000,"Adventure, Drama"
627,Trainspotting,16491080,4000000,"Drama, Crime"
36668,X-Men: The Last Stand,459359555,210000000,"Adventure, Action, Science Fiction, Thriller"
76170,The Wolverine,415440673,120000000,"Action, Science Fiction, Adventure, Fantasy"
381284,Hidden Figures,235956898,25000000,"Drama, History"
8960,Hancock,629443428,150000000,"Fantasy, Action"
82702,How to Train Your Dragon 2,621537519,145000000,"Fantasy, Action, Adventure, Animation, Comedy, Family"
10674,Mulan,304320254,90000000,"Animation, Family, Adventure"
110415,Snowpiercer,86758912,39200000,"Action, Science Fiction, Drama"
454626,Sonic the Hedgehog,319715683,85000000,"Action, Science Fiction, Comedy, Family"
602,Independence Day,817400891,75000000,"Action, Adventure, Science Fiction"
70,Million Dollar Baby,216763646,30000000,Drama
316029,The Greatest Showman,432844677,84000000,Drama
287947,Shazam!,366080049,80000000,"Action, Comedy, Fantasy"
9738,Fantastic Four,333535934,100000000,"Action, Adventure, Fantasy, Science Fiction"
679,Aliens,183316455,18500000,"Action, Thriller, Science Fiction"
577922,Tenet,365304105,205000000,"Action, Thriller, Science Fiction"
515001,Jojo Rabbit,82468705,14000000,"Comedy, War, Drama"
17654,District 9,210819611,30000000,Science Fiction
4935,Howl's Moving Castle,236049757,24000000,"Fantasy, Animation, Adventure"
264644,Room,35401758,13000000,"Drama, Thriller"
772,Home Alone 2: Lost in New York,358994850,18000000,"Comedy, Family, Adventure"
591,The Da Vinci Code,767820459,125000000,"Thriller, Mystery"
2501,The Bourne Identity,214034224,60000000,"Action, Drama, Mystery, Thriller"
18239,The Twilight Saga: New Moon,709827462,50000000,"Adventure, Fantasy, Drama, Romance"
568124,Encanto,253000000,50000000,"Animation, Comedy, Family, Fantasy"
9741,Unbreakable,248118121,75000000,"Thriller, Drama, Mystery"
54138,Star Trek Into Darkness,467365246,190000000,"Action, Adventure, Science Fiction"
414906,The Batman,770945583,185000000,"Crime, Mystery, Thriller"
47971,xXx: Return of Xander Cage,346147658,85000000,"Action, Adventure, Crime"
9487,A Bug's Life,363258859,120000000,"Adventure, Animation, Comedy, Family"
337404,Cruella,233503234,200000000,"Comedy, Crime"
87,Indiana Jones and the Temple of Doom,333000000,28000000,"Adventure, Action"
13183,Watchmen,185258983,130000000,"Action, Mystery, Science Fiction"
9479,The Nightmare Before Christmas,75634409,24000000,"Fantasy, Animation, Family"
566525,Shang-Chi and the Legend of the Ten Rings,432243292,150000000,"Action, Adventure, Fantasy"
399579,Alita: Battle Angel,404980543,170000000,"Action, Science Fiction, Adventure"
124905,Godzilla,529076069,160000000,"Action, Drama, Science Fiction"
50620,The Twilight Saga: Breaking Dawn - Part 2,829747654,120000000,"Adventure, Fantasy, Drama, Romance"
423,The Pianist,120072577,35000000,"Drama, War"
564,The Mummy,415885488,80000000,"Adventure, Action, Fantasy"
176,Saw,103911669,1200000,"Horror, Mystery, Crime"
318846,The Big Short,133346506,28000000,"Comedy, Drama"
810,Shrek the Third,813367380,160000000,"Fantasy, Adventure, Animation, Comedy, Family"
107,Snatch,83557872,10000000,"Crime, Comedy"
138832,We're the Millers,269994119,37000000,"Comedy, Crime"
50619,The Twilight Saga: Breaking Dawn - Part 1,712171856,110000000,"Adventure, Fantasy, Romance"
24021,The Twilight Saga: Eclipse,698491347,68000000,"Adventure, Fantasy, Drama, Romance"
68724,Elysium,286140700,115000000,"Science Fiction, Action, Drama, Thriller"
3933,Corpse Bride,118133252,40000000,"Romance, Fantasy, Animation"
177677,Mission: Impossible - Rogue Nation,682716636,150000000,"Action, Adventure"
45269,The King's Speech,414211549,15000000,"Drama, History"
156022,The Equalizer,192330738,55000000,"Thriller, Action, Crime"
620,Ghostbusters,296187079,30000000,"Comedy, Fantasy"
109439,The Hangover Part III,362000072,103000000,Comedy
954,Mission: Impossible,457731198,80000000,"Adventure, Action, Thriller"
466282,To All the Boys I've Loved Before,0,0,"Comedy, Romance"
76492,Hotel Transylvania,358375603,85000000,"Animation, Comedy, Family, Fantasy"
254128,San Andreas,473990832,110000000,"Action, Drama, Thriller"
281338,War for the Planet of the Apes,490719763,150000000,"Drama, Science Fiction, War"
474350,It Chapter Two,473122525,79000000,"Horror, Fantasy"
300668,Annihilation,43070915,40000000,"Science Fiction, Horror"
180,Minority Report,358372926,102000000,"Action, Thriller, Science Fiction, Mystery"
